index,stereo,stereo_pred
0,0,1
1,0,0
2,0,0
3,1,1
4,0,0
5,1,0
6,1,0
7,1,0
8,1,1
9,0,0
10,1,1
11,0,0
12,0,0
13,1,0
14,0,0
15,0,0
16,1,0
17,0,0
18,0,0
19,0,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,0,0
26,1,0
27,0,0
28,1,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,1,0
38,0,0
39,0,0
40,1,0
41,0,0
42,1,0
43,0,0
44,1,1
45,0,0
46,0,0
47,0,1
48,0,0
49,1,0
50,0,0
51,0,0
52,0,0
53,1,0
54,0,0
55,0,0
56,0,0
57,1,0
58,1,1
59,0,0
60,0,1
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,0
68,1,0
69,1,0
70,0,0
71,0,0
951,1,1
952,0,0
953,0,0
954,1,0
955,0,0
956,0,0
957,1,1
958,1,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,1,0
969,0,0
970,0,0
971,0,0
972,1,0
973,0,1
974,1,0
975,1,0
976,0,0
977,0,0
984,0,1
997,1,1
998,0,0
999,1,1
3876,1,1
3877,0,0
3878,0,0
3890,1,1
3891,0,1
3892,0,0
3893,0,0
3894,0,0
3900,0,1
3903,0,0
4039,0,0
4040,0,0
4041,0,0
4042,0,0
4043,0,0
4044,1,1
4045,0,0
4046,0,0
4061,1,1
4062,1,1
4063,1,0
4064,0,1
4065,0,0
4066,0,0
4067,0,0
4068,0,0
4069,0,0
4070,0,0
4071,0,0
4072,0,0
4073,0,0
4099,0,1
4100,1,1
4101,0,0
4102,1,1
4103,1,1
4109,1,1
4118,1,1
4119,0,0
4121,1,1
4122,1,1
4124,1,1
4125,1,1
4126,1,1
4127,0,0
4128,1,0
4129,0,0
4130,0,0
4131,0,0
4132,0,0
4133,0,0
4134,0,0
4135,1,0
4136,1,0
4137,0,0
4138,1,0
4139,0,0
4140,1,1
4141,0,0
4142,0,0
4143,0,0
4144,0,0
4145,0,0
4146,0,0
4147,0,0
4148,0,0
4149,0,0
4150,1,0
4151,1,1
4152,0,0
4153,0,0
4154,0,0
4155,0,0
4156,0,0
4157,0,0
4158,0,0
4159,0,0
4160,1,1
4161,1,1
4162,0,0
4163,0,0
4164,1,1
4165,1,0
4166,1,1
4167,0,0
4168,0,0
4169,0,0
4170,0,0
4171,1,0
4172,1,0
4173,1,0
4174,0,0
4175,0,0
4176,0,1
4177,0,0
4178,0,0
4179,1,1
4180,1,1
4181,0,0
4182,0,1
4183,1,0
4184,0,0
4185,0,0
4186,1,0
4187,0,0
4188,1,0
4189,0,0
4190,1,0
4191,0,0
4192,0,0
4193,0,0
4194,1,0
4195,0,0
4196,0,0
4197,0,0
4198,1,1
4199,0,0
4200,0,0
4201,1,0
4202,0,0
4203,0,0
4204,0,0
4205,0,0
4206,0,0
4207,1,0
4208,0,0
4209,0,0
4210,0,0
4211,1,1
4212,1,1
4213,0,0
4214,0,0
4215,0,0
4216,0,0
4217,0,0
4218,1,0
4219,0,0
4220,0,0
4221,0,0
4222,0,0
4223,0,0
4224,0,0
4225,0,0
4226,0,0
4227,0,0
4228,0,0
4229,0,0
4230,1,0
4231,1,0
4232,0,0
4233,0,0
4234,1,1
4235,0,0
